airport_name,country_name,continents,departure_date,arrival_airport,pilot_name,flight_status
Glasgow Prestwick Airport,United Kingdom,Europe,2022-01-17 00:00:00,PIK,Rhea Vigneron,Cancelled
RAF Mildenhall,United Kingdom,Europe,2022-10-07 00:00:00,MHZ,Emanuel Sparshett,On Time
Birmingham International Airport,United Kingdom,Europe,2022-01-23 00:00:00,BHX,Trip Ionnisian,Cancelled
Upavon Aerodrome,United Kingdom,Europe,2022-10-29 00:00:00,UPV,Eleanor Garnall,Delayed
Amado Nervo National Airport,Mexico,North America,2022-06-26 00:00:00,TPQ,Evyn Merrgan,On Time
Licenciado Benito Juarez International Airport,Mexico,North America,2022-03-12 00:00:00,MEX,Schuyler Burnhill,Delayed
Riesa-Göhlis Airport,Germany,Europe,2022-01-31 00:00:00,IES,Stewart Briars,Cancelled
Lecce Galatina Air Base,Italy,Europe,2022-05-28 00:00:00,LCC,Flynn Heal,Cancelled
Fürstenfeldbruck Air Base,Germany,Europe,2022-07-03 00:00:00,FEL,Allyn Engelbrecht,On Time
Trieste–Friuli Venezia Giulia Airport,Italy,Europe,2022-01-27 00:00:00,TRS,Matthias Dalzell,Delayed
Wyk auf Föhr Airport,Germany,Europe,2022-07-28 00:00:00,OHR,Waldo Gayle,Cancelled
Bremen Airport,Germany,Europe,2022-01-08 00:00:00,BRE,Irene Bigly,On Time
Decimomannu Air Base,Italy,Europe,2022-03-14 00:00:00,DCI,Dieter Du Hamel,Delayed
Fleetlands Heliport,United Kingdom,Europe,2022-04-28 00:00:00,PME,Windham Dungey,Delayed
RAF Greenham Common,United Kingdom,Europe,2022-01-19 00:00:00,EWY,Ramsay Hymas,Delayed
Oban Airport,United Kingdom,Europe,2022-02-14 00:00:00,OBN,Dawn Danilchenko,Cancelled
Trieste–Friuli Venezia Giulia Airport,Italy,Europe,2022-07-29 00:00:00,TRS,Percival Zimmermeister,Cancelled
D. Casimiro Szlapelis Airport,Argentina,South America,2022-07-02 00:00:00,ARR,Roderigo Giacopetti,Delayed
Liverpool John Lennon Airport,United Kingdom,Europe,2022-10-25 00:00:00,LPL,Frazer Louedey,Cancelled
George Best Belfast City Airport,United Kingdom,Europe,2022-08-03 00:00:00,BHD,Adler McKennan,On Time
Formosa Airport,Argentina,South America,2022-06-19 00:00:00,FMA,Waylan Cordrey,Delayed
Loncopue Airport,Argentina,South America,2022-07-20 00:00:00,LCP,Berkeley Marcos,On Time
Ciudad Mante National Airport,Mexico,North America,2022-09-30 00:00:00,MMC,Ivan Farmiloe,Delayed
Formosa Airport,Argentina,South America,2022-05-04 00:00:00,FMA,Albie Kiddell,Cancelled
Leeds Bradford Airport,United Kingdom,Europe,2022-08-18 00:00:00,LBA,Costa MacScherie,On Time
Cagliari Elmas Airport,Italy,Europe,2022-08-16 00:00:00,CAG,Falito Etheredge,On Time
RAF Cottesmore,United Kingdom,Europe,2022-07-04 00:00:00,OKH,Meridel Ferrant,Cancelled
Memmingen Allgau Airport,Germany,Europe,2022-09-04 00:00:00,FMM,Amy Tremmil,Delayed
Edinburgh Airport,United Kingdom,Europe,2022-01-28 00:00:00,EDI,Poppy Saphir,Cancelled
RNAS Yeovilton,United Kingdom,Europe,2022-05-11 00:00:00,YEO,Rachel Dacca,Delayed
Caviahue Airport,Argentina,South America,2022-06-10 00:00:00,CVH,Miller Bollis,On Time
Suboficial Ay Santiago Germano Airport,Argentina,South America,2022-12-14 00:00:00,AFA,Dukie Drinnan,Cancelled
Licenciado Miguel de la Madrid Airport,Mexico,North America,2022-04-06 00:00:00,CLQ,Doralyn Rumsey,On Time
General Pico Airport,Argentina,South America,2022-06-02 00:00:00,GPO,Shaughn Morch,Cancelled
Francisco Sarabia International Airport,Mexico,North America,2022-03-28 00:00:00,TRC,Sheri Gavigan,On Time
Lamezia Terme Airport,Italy,Europe,2022-09-14 00:00:00,SUF,Silva Tracy,On Time
RAF Brize Norton,United Kingdom,Europe,2022-03-25 00:00:00,BZZ,Dulcy Colegrove,On Time
Venice Marco Polo Airport,Italy,Europe,2022-02-26 00:00:00,VCE,Jake Hackett,Cancelled
Pescara International Airport,Italy,Europe,2022-02-20 00:00:00,PSR,Eileen Cuddehy,Delayed
Penzance Heliport,United Kingdom,Europe,2022-08-28 00:00:00,PZE,Cordy Cutler,On Time
Berlin-Schönefeld Airport,Germany,Europe,2022-10-31 00:00:00,SXF,Coleen Hulles,On Time
Heringsdorf Airport,Germany,Europe,2022-05-03 00:00:00,HDF,Kanya Regorz,Cancelled
Licenciado Manuel Crescencio Rejon Int Airport,Mexico,North America,2022-12-22 00:00:00,MID,Esmaria Togwell,Cancelled
Dundee Airport,United Kingdom,Europe,2022-05-04 00:00:00,DND,Lauretta Sandys,Cancelled
Sembach Air Base,Germany,Europe,2022-08-18 00:00:00,SEX,Morna Kline,Cancelled
Sanday Airport,United Kingdom,Europe,2022-09-16 00:00:00,NDY,Vance Cuthbert,Cancelled
Chos Malal Airport,Argentina,South America,2022-04-17 00:00:00,HOS,Othella Aires,Delayed
London Heathrow Airport,United Kingdom,Europe,2022-10-19 00:00:00,LHR,Nevile Dauncey,On Time
Maquinchao Airport,Argentina,South America,2022-01-17 00:00:00,MQD,Anders Durban,On Time
Gobernador Gregores Airport,Argentina,South America,2022-07-19 00:00:00,GGS,Grissel Heel,Cancelled
Böblingen Flugfeld,Germany,Europe,2022-10-17 00:00:00,PHM,Edmon Thornborrow,Delayed
Böblingen Flugfeld,Germany,Europe,2022-10-19 00:00:00,PHM,Tresa Cristea,Cancelled
Giebelstadt Airport,Germany,Europe,2022-02-08 00:00:00,GHF,Bartie Battey,Delayed
Ciudad Constitución Airport,Mexico,North America,2022-01-03 00:00:00,CUA,Juliane Guillford,Cancelled
Neubrandenburg Airport,Germany,Europe,2022-06-12 00:00:00,FNB,Kaspar Sturdgess,Delayed
Emden Airport,Germany,Europe,2022-07-22 00:00:00,EME,Normie Dumini,Delayed
Alferez Armando Rodriguez Airport,Argentina,South America,2022-03-27 00:00:00,LLS,Basil Nelle,On Time
General José María Yáñez International Airport,Mexico,North America,2022-04-07 00:00:00,GYM,Maureene Spada,Cancelled
Wiesbaden Army Airfield,Germany,Europe,2022-08-26 00:00:00,WIE,Claudian Bushill,Delayed
Malvinas Argentinas Airport,Argentina,South America,2022-06-16 00:00:00,USH,Pippy Buckthorpe,Cancelled
Lasham Airport,United Kingdom,Europe,2022-04-20 00:00:00,QLA,Meaghan Aldridge,Cancelled
Hamburg-Finkenwerder Airport,Germany,Europe,2022-09-28 00:00:00,XFW,Rustie Jouhandeau,Cancelled
Taranto-Grottaglie Marcello Arlotta Airport,Italy,Europe,2022-09-07 00:00:00,TAR,Etienne Trusler,On Time
Bitburg Airport,Germany,Europe,2022-12-14 00:00:00,BBJ,Kirsteni Hovert,Delayed
Vincenzo Florio Airport Trapani-Birgi,Italy,Europe,2022-11-20 00:00:00,TPS,Barbe Grutchfield,On Time
Varrelbusch Airport,Germany,Europe,2022-01-23 00:00:00,VAC,Honey Wintour,On Time
Cotswold Airport,United Kingdom,Europe,2022-02-03 00:00:00,GBA,Catlee Paolino,Delayed
Ramstein Air Base,Germany,Europe,2022-05-28 00:00:00,RMS,Parsifal Franchyonok,Delayed
Oberpfaffenhofen Airport,Germany,Europe,2022-08-07 00:00:00,OBF,Raimundo Burniston,Delayed
Salerno Costa d'Amalfi Airport,Italy,Europe,2022-10-29 00:00:00,QSR,Rozina Chillingsworth,Delayed
Francisco Sarabia International Airport,Mexico,North America,2022-06-14 00:00:00,TRC,Charlton Bevis,Cancelled
Las Heras Airport,Argentina,South America,2022-05-09 00:00:00,LHS,Gauthier Dunwoody,On Time
Friedrichshafen Airport,Germany,Europe,2022-04-13 00:00:00,FDH,Alvie Le Conte,Delayed
Tiree Airport,United Kingdom,Europe,2022-10-20 00:00:00,TRE,Joye McInnery,Cancelled
Gatow Airport,Germany,Europe,2022-10-27 00:00:00,GWW,Verney Paolillo,Delayed
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-10-26 00:00:00,PVR,Andreana Kobera,Cancelled
Chetumal International Airport,Mexico,North America,2022-06-08 00:00:00,CTM,Granville Swatton,Cancelled
Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,South America,2022-02-22 00:00:00,SDE,Baryram McLanaghan,Cancelled
Bielefeld Airport,Germany,Europe,2022-11-02 00:00:00,BFE,Mirilla Huby,Delayed
Brigadier Antonio Parodi Airport,Argentina,South America,2022-05-05 00:00:00,EQS,Bowie Hamblyn,Delayed
Almirante Marco Andres Zar Airport,Argentina,South America,2022-07-27 00:00:00,REL,Roderich Mazdon,On Time
Aviador C. Campos Airport,Argentina,South America,2022-05-01 00:00:00,CPC,Marion Barajaz,On Time
Mercedes Airport,Argentina,South America,2022-02-13 00:00:00,MDX,Thaxter Jonuzi,Delayed
Köthen Airport,Germany,Europe,2022-03-09 00:00:00,KOQ,Minny Bancroft,Cancelled
Area De Material Airport,Argentina,South America,2022-07-17 00:00:00,RCU,Torry Fri,Cancelled
Pescara International Airport,Italy,Europe,2022-11-18 00:00:00,PSR,Levin Zavattieri,Delayed
Foula Airfield,United Kingdom,Europe,2022-08-31 00:00:00,FOA,Sonnnie Atkinson,Cancelled
Colonia Sarmiento Airport,Argentina,South America,2022-07-12 00:00:00,OLN,Latisha Meikle,Cancelled
Grosseto Air Base,Italy,Europe,2022-09-22 00:00:00,GRS,Sheffield Sneden,On Time
Land's End Airport,United Kingdom,Europe,2022-02-28 00:00:00,LEQ,Kass Mains,Delayed
Fleetlands Heliport,United Kingdom,Europe,2022-09-21 00:00:00,PME,Matthew McCurdy,Delayed
General E. Mosconi Airport,Argentina,South America,2022-04-22 00:00:00,CRD,Lorne Lerwill,Delayed
Nuremberg Airport,Germany,Europe,2022-11-19 00:00:00,NUE,Cathy Jiracek,Delayed
East Midlands Airport,United Kingdom,Europe,2022-03-15 00:00:00,EMA,Gwendolyn Garnsworthy,Cancelled
Oristano-Fenosu Airport,Italy,Europe,2022-01-23 00:00:00,FNU,Garrek Spellicy,On Time
Rostock-Laage Airport,Germany,Europe,2022-02-19 00:00:00,RLG,Maurise Pankettman,On Time
Monclova International Airport,Mexico,North America,2022-09-29 00:00:00,LOV,Meade Garrison,On Time
Fritzlar Airport,Germany,Europe,2022-12-12 00:00:00,FRZ,Hasty Rowter,Cancelled
El Bolson Airport,Argentina,South America,2022-05-01 00:00:00,EHL,Bonnie Philliphs,Delayed
Outer Skerries Airport,United Kingdom,Europe,2022-09-29 00:00:00,OUK,Zechariah MacBean,Delayed
Lecce Galatina Air Base,Italy,Europe,2022-10-20 00:00:00,LCC,Phylis Cassey,Delayed
Bristol Airport,United Kingdom,Europe,2022-10-27 00:00:00,BRS,Reuben Phifer,On Time
Taranto-Grottaglie Marcello Arlotta Airport,Italy,Europe,2022-08-01 00:00:00,TAR,Sollie Jozwicki,On Time
Hermanos Serdán International Airport,Mexico,North America,2022-08-23 00:00:00,PBC,Davidde Friedlos,Cancelled
St. Mary's Airport,United Kingdom,Europe,2022-02-18 00:00:00,ISC,Charmain Duff,Delayed
RAF Alconbury,United Kingdom,Europe,2022-09-28 00:00:00,AYH,Eal Armistead,Cancelled
Fritzlar Airport,Germany,Europe,2022-06-28 00:00:00,FRZ,Shadow Gorey,Delayed
