airport_name,country_name,continents,departure_date,arrival_airport,pilot_name,flight_status,germany_latitude,germany_longitude,argentina_latitude,argentina_longitude,mexico_latitude,mexico_longitude,uk_latitude,uk_longitude,italy_latitude,italy_longitude
Aosta Airport,Italy,Europe,2022-12-10 00:00:00,AOT,Keri Duns,Cancelled,,,,,,,,,45.738500,7.368300
Peretola Airport,Italy,Europe,2022-11-06 00:00:00,FLR,Tomi Westerman,Delayed,,,,,,,,,43.809000,11.205100
Colonia Catriel Airport,Argentina,South America,2022-09-08 00:00:00,CCT,Sasha Rippin,On Time,,,-37.853500,-67.829500,,,,,,
Böblingen Flugfeld,Germany,Europe,2022-08-09 00:00:00,PHM,Rudy Carter,Delayed,54.158300,13.767200,,,,,,,,
RAF Honington,United Kingdom,Europe,2022-08-09 00:00:00,BEQ,Richardo Franc,Delayed,,,,,,,52.342600,0.772900,,
Ingeniero Ambrosio Taravella Airport,Argentina,South America,2022-12-04 00:00:00,COR,Aubine Jandl,Cancelled,,,-31.323600,-64.208000,,,,,,
General Roberto Fierro Villalobos International Airport,Mexico,North America,2022-12-25 00:00:00,CUU,Gaven Volant,Cancelled,,,,,28.702900,-105.964600,,,,
Erfurt Airport,Germany,Europe,2022-05-09 00:00:00,ERF,Abigale Lippard,On Time,50.979800,10.958100,,,,,,,,
Foggia Gino Lisa Airport,Italy,Europe,2022-12-07 00:00:00,FOG,Katalin Slainey,Delayed,,,,,,,,,41.433200,15.535000
Juist Airport,Germany,Europe,2022-02-23 00:00:00,JUI,Carlee Lillee,Delayed,53.681600,7.055600,,,,,,,,
Berlin Brandenburg Airport (U.C.),Germany,Europe,2022-03-10 00:00:00,BER,Gustie Barry,Delayed,52.366700,13.503900,,,,,,,,
Dresden Airport,Germany,Europe,2022-06-07 00:00:00,DRS,Deloris Ladon,Cancelled,51.132800,13.767200,,,,,,,,
Cupul Airport,Mexico,North America,2022-03-10 00:00:00,TZM,Lucius Hearley,Delayed,,,,,21.441000,-88.235600,,,,
Turin Airport,Italy,Europe,2022-10-13 00:00:00,TRN,Galven Covely,Delayed,,,,,,,,,45.200800,7.649600
Ciudad Obregón International Airport,Mexico,North America,2022-07-10 00:00:00,CEN,Kinsley Burditt,On Time,,,,,27.392600,-109.833000,,,,
Tapachula International Airport,Mexico,North America,2022-12-06 00:00:00,TAP,Marci Cartmell,On Time,,,,,14.794300,-92.370000,,,,
Westray Airport,United Kingdom,Europe,2022-06-14 00:00:00,WRY,Georg Jancik,Cancelled,,,,,,,59.350300,-2.950000,,
Francisco Sarabia International Airport,Mexico,North America,2022-01-03 00:00:00,TRC,Othilie Hedderly,On Time,,,,,25.568300,-103.410600,,,,
Francisco Primo de Verdad y Ramos Airport,Mexico,North America,2022-06-22 00:00:00,LOM,Sandy Heales,Delayed,,,,,21.258800,-102.558000,,,,
San Antonio Copalar Airport,Mexico,North America,2022-10-02 00:00:00,CJT,Niel Mandell,On Time,,,,,16.039200,-90.741800,,,,
Tulum Naval Air Station,Mexico,North America,2022-08-18 00:00:00,TUY,Antoni Bruneton,Delayed,,,,,20.214000,-87.466200,,,,
Foula Airfield,United Kingdom,Europe,2022-12-08 00:00:00,FOA,Carri Shales,Cancelled,,,,,,,60.138900,-2.082200,,
Comiso Airport,Italy,Europe,2022-12-09 00:00:00,CIY,Danita Satterthwaite,Delayed,,,,,,,,,36.994600,14.607900
Sunchales Aeroclub Airport,Argentina,South America,2022-11-06 00:00:00,NCJ,Bertina Najara,Delayed,,,-30.892500,-61.896900,,,,,,
RAF Upper Heyford,United Kingdom,Europe,2022-07-12 00:00:00,UHF,Alister Tourmell,Cancelled,,,,,,,51.929200,-1.253400,,
Aberdeen Dyce Airport,United Kingdom,Europe,2022-06-02 00:00:00,ABZ,Ashlan Danzelman,Delayed,,,,,,,57.201900,-2.197800,,
Bragado Airport,Argentina,South America,2022-06-30 00:00:00,QRF,Clea Saunderson,On Time,,,-34.729400,-58.263100,,,,,,
Fair Isle Airport,United Kingdom,Europe,2022-10-01 00:00:00,FIE,Antoinette Gowman,Cancelled,,,,,,,59.535800,-1.628100,,
RAF Wyton,United Kingdom,Europe,2022-08-28 00:00:00,QUY,Haley Polglaze,Delayed,,,,,,,52.357200,-0.107800,,
Brigadier Antonio Parodi Airport,Argentina,South America,2022-09-11 00:00:00,EQS,Sydney Scotter,Cancelled,,,-42.907200,-71.139500,,,,,,
Cotswold Airport,United Kingdom,Europe,2022-10-06 00:00:00,GBA,Tammie Jurca,Cancelled,,,,,,,51.616400,-1.095800,,
Böblingen Flugfeld,Germany,Europe,2022-03-31 00:00:00,PHM,Lian Postles,Cancelled,54.158300,13.767200,,,,,,,,
Fürstenfeldbruck Air Base,Germany,Europe,2022-05-29 00:00:00,FEL,Appolonia Beevor,On Time,48.205700,11.267200,,,,,,,,
London Heathrow Airport,United Kingdom,Europe,2022-01-04 00:00:00,LHR,Craig Brasher,Cancelled,,,,,,,51.471000,-0.456000,,
Lerwick / Tingwall Airport,United Kingdom,Europe,2022-03-12 00:00:00,LWK,Quinn Roft,On Time,,,,,,,60.192200,-1.243600,,
Illesheim Air Base,Germany,Europe,2022-08-30 00:00:00,ILH,Levin Coudray,On Time,49.545300,10.110600,,,,,,,,
Berlin Brandenburg Airport (U.C.),Germany,Europe,2022-09-26 00:00:00,BER,Clementius Parry,On Time,52.366700,13.503900,,,,,,,,
Sywell Aerodrome,United Kingdom,Europe,2022-02-06 00:00:00,ORM,Regine Cressar,Cancelled,,,,,,,52.292200,-0.798200,,
Don Miguel Hidalgo Y Costilla International Airport,Mexico,North America,2022-03-24 00:00:00,GDL,Caprice Spridgen,On Time,,,,,20.521800,-103.311200,,,,
General Francisco J. Mujica International Airport,Mexico,North America,2022-10-27 00:00:00,MLM,Guthrie Pllu,Delayed,,,,,19.849900,-101.025500,,,,
Licenciado Miguel de la Madrid Airport,Mexico,North America,2022-04-07 00:00:00,CLQ,Palmer Staggs,Cancelled,,,,,19.277000,-103.577100,,,,
Saenz Peña Airport,Argentina,South America,2022-08-30 00:00:00,SZQ,Marybeth Akester,Cancelled,,,-26.799600,-60.493200,,,,,,
Reconquista Airport,Argentina,South America,2022-08-08 00:00:00,RCQ,Wyatt Petigrew,Delayed,,,-29.210300,-59.680000,,,,,,
Forlì Airport,Italy,Europe,2022-03-12 00:00:00,FRL,Justin McNiff,On Time,,,,,,,,,44.194800,12.070100
Benbecula Airport,United Kingdom,Europe,2022-03-31 00:00:00,BEB,Timotheus Gillivrie,Cancelled,,,,,,,57.481100,-7.362800,,
San Domino Island Heliport,Italy,Europe,2022-11-04 00:00:00,TQR,Lauraine Beggi,On Time,,,,,,,,,42.112200,15.488600
Lahr Airport,Germany,Europe,2022-02-07 00:00:00,LHA,Seana Worgan,Delayed,48.369300,7.827700,,,,,,,,
Nuevo Casas Grandes Airport,Mexico,North America,2022-09-01 00:00:00,NCG,Davidde Greenhow,On Time,,,,,30.397400,-107.874700,,,,
Frankfurt-Hahn Airport,Germany,Europe,2022-06-14 00:00:00,HHN,Giacopo Straw,Cancelled,49.948700,7.263900,,,,,,,,
General Villegas Airport,Argentina,South America,2022-04-02 00:00:00,VGS,Suzi Dudley,On Time,,,-35.122300,-63.257200,,,,,,
Manchester Airport,United Kingdom,Europe,2022-07-22 00:00:00,MAN,Brady Sprowle,Delayed,,,,,,,53.365700,-2.272980,,
Dresden Airport,Germany,Europe,2022-07-01 00:00:00,DRS,Cate Siret,On Time,51.132800,13.767200,,,,,,,,
Braunschweig-Wolfsburg Airport,Germany,Europe,2022-10-30 00:00:00,BWE,Maure Ganniclifft,Cancelled,52.319200,10.556100,,,,,,,,
Munich Airport,Germany,Europe,2022-07-18 00:00:00,MUC,Martin Chattington,Delayed,48.353800,11.786100,,,,,,,,
Junin Airport,Argentina,South America,2022-09-20 00:00:00,JNI,Jamil Knagges,Delayed,,,-34.545900,-60.930600,,,,,,
Ixtapa Zihuatanejo International Airport,Mexico,North America,2022-09-17 00:00:00,ZIH,Renell Bore,On Time,,,,,17.601600,-101.460500,,,,
Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,South America,2022-10-09 00:00:00,SDE,Bear Sillwood,Cancelled,,,-27.765600,-64.310300,,,,,,
Bahías de Huatulco International Airport,Mexico,North America,2022-08-25 00:00:00,HUX,Madel Ainslie,On Time,,,,,15.775300,-96.262600,,,,
Stronsay Airport,United Kingdom,Europe,2022-12-03 00:00:00,SOY,Jedd Greiser,On Time,,,,,,,59.155300,-2.641400,,
Mönchengladbach Airport,Germany,Europe,2022-09-09 00:00:00,MGL,Elvera Adame,Cancelled,51.230400,6.504500,,,,,,,,
Gualeguaychu Airport,Argentina,South America,2022-12-07 00:00:00,GHU,Gothart Cliss,On Time,,,-33.010300,-58.613100,,,,,,
Mar de Cortés International Airport,Mexico,North America,2022-06-22 00:00:00,PPE,Reiko Earsman,On Time,,,,,31.351000,-113.525700,,,,
Bahía de los Ángeles Airport,Mexico,North America,2022-01-05 00:00:00,BHL,Dahlia Tierny,Cancelled,,,,,28.967800,-113.562000,,,,
Riesa-Göhlis Airport,Germany,Europe,2022-07-16 00:00:00,IES,Audrey Willman,On Time,51.293600,13.356100,,,,,,,,
Baltrum Airport,Germany,Europe,2022-06-13 00:00:00,BMR,Sasha Meijer,Delayed,53.724800,7.373100,,,,,,,,
Naples International Airport,Italy,Europe,2022-06-30 00:00:00,NAP,Malorie Thowes,On Time,,,,,,,,,40.886000,14.290800
Husum-Schwesing Airport,Germany,Europe,2022-10-24 00:00:00,QHU,Zulema Kacheler,Cancelled,54.509200,9.144200,,,,,,,,
Sunchales Aeroclub Airport,Argentina,South America,2022-01-22 00:00:00,NCJ,Merralee Lexa,On Time,,,-30.892500,-61.896900,,,,,,
Comodoro Pedro Zanni Airport,Argentina,South America,2022-11-10 00:00:00,PEH,Stacie Tootin,Delayed,,,-35.845600,-61.857600,,,,,,
Campbeltown Airport,United Kingdom,Europe,2022-02-14 00:00:00,CAL,Nehemiah Vernazza,On Time,,,,,,,55.437200,-5.686400,,
Villa Reynolds Airport,Argentina,South America,2022-02-01 00:00:00,VME,Shandra Applegarth,On Time,,,-33.729900,-65.387800,,,,,,
Loncopue Airport,Argentina,South America,2022-12-24 00:00:00,LCP,Raffaello Allcroft,Delayed,,,-24.855000,-65.486200,,,,,,
Glasgow Prestwick Airport,United Kingdom,Europe,2022-01-17 00:00:00,PIK,Rhea Vigneron,Cancelled,,,,,,,55.509400,-4.586700,,
RAF Mildenhall,United Kingdom,Europe,2022-10-07 00:00:00,MHZ,Emanuel Sparshett,On Time,,,,,,,52.361900,0.486400,,
Birmingham International Airport,United Kingdom,Europe,2022-01-23 00:00:00,BHX,Trip Ionnisian,Cancelled,,,,,,,52.452400,-1.743600,,
Upavon Aerodrome,United Kingdom,Europe,2022-10-29 00:00:00,UPV,Eleanor Garnall,Delayed,,,,,,,51.276700,-1.827500,,
Amado Nervo National Airport,Mexico,North America,2022-06-26 00:00:00,TPQ,Evyn Merrgan,On Time,,,,,21.419500,-104.837800,,,,
Licenciado Benito Juarez International Airport,Mexico,North America,2022-03-12 00:00:00,MEX,Schuyler Burnhill,Delayed,,,,,19.436300,-99.072100,,,,
Riesa-Göhlis Airport,Germany,Europe,2022-01-31 00:00:00,IES,Stewart Briars,Cancelled,51.293600,13.356100,,,,,,,,
Lecce Galatina Air Base,Italy,Europe,2022-05-28 00:00:00,LCC,Flynn Heal,Cancelled,,,,,,,,,40.239500,18.133300
Fürstenfeldbruck Air Base,Germany,Europe,2022-07-03 00:00:00,FEL,Allyn Engelbrecht,On Time,48.205700,11.267200,,,,,,,,
Trieste–Friuli Venezia Giulia Airport,Italy,Europe,2022-01-27 00:00:00,TRS,Matthias Dalzell,Delayed,,,,,,,,,45.827500,13.472200
Wyk auf Föhr Airport,Germany,Europe,2022-07-28 00:00:00,OHR,Waldo Gayle,Cancelled,54.913200,8.340500,,,,,,,,
Bremen Airport,Germany,Europe,2022-01-08 00:00:00,BRE,Irene Bigly,On Time,53.047500,8.786700,,,,,,,,
Decimomannu Air Base,Italy,Europe,2022-03-14 00:00:00,DCI,Dieter Du Hamel,Delayed,,,,,,,,,39.354200,8.972500
Fleetlands Heliport,United Kingdom,Europe,2022-04-28 00:00:00,PME,Windham Dungey,Delayed,,,,,,,50.795800,-1.083300,,
RAF Greenham Common,United Kingdom,Europe,2022-01-19 00:00:00,EWY,Ramsay Hymas,Delayed,,,,,,,51.377800,-1.317800,,
Oban Airport,United Kingdom,Europe,2022-02-14 00:00:00,OBN,Dawn Danilchenko,Cancelled,,,,,,,56.463500,-5.399500,,
Trieste–Friuli Venezia Giulia Airport,Italy,Europe,2022-07-29 00:00:00,TRS,Percival Zimmermeister,Cancelled,,,,,,,,,45.827500,13.472200
D. Casimiro Szlapelis Airport,Argentina,South America,2022-07-02 00:00:00,ARR,Roderigo Giacopetti,Delayed,,,-45.013800,-70.812200,,,,,,
Liverpool John Lennon Airport,United Kingdom,Europe,2022-10-25 00:00:00,LPL,Frazer Louedey,Cancelled,,,,,,,53.333600,-2.849700,,
George Best Belfast City Airport,United Kingdom,Europe,2022-08-03 00:00:00,BHD,Adler McKennan,On Time,,,,,,,54.618100,-5.872500,,
Formosa Airport,Argentina,South America,2022-06-19 00:00:00,FMA,Waylan Cordrey,Delayed,,,-26.212700,-58.228300,,,,,,
Loncopue Airport,Argentina,South America,2022-07-20 00:00:00,LCP,Berkeley Marcos,On Time,,,-24.855000,-65.486200,,,,,,
Ciudad Mante National Airport,Mexico,North America,2022-09-30 00:00:00,MMC,Ivan Farmiloe,Delayed,,,,,22.768900,-99.001200,,,,
Formosa Airport,Argentina,South America,2022-05-04 00:00:00,FMA,Albie Kiddell,Cancelled,,,-26.212700,-58.228300,,,,,,
Leeds Bradford Airport,United Kingdom,Europe,2022-08-18 00:00:00,LBA,Costa MacScherie,On Time,,,,,,,53.865900,-1.660600,,
Cagliari Elmas Airport,Italy,Europe,2022-08-16 00:00:00,CAG,Falito Etheredge,On Time,,,,,,,,,39.251500,9.054300
RAF Cottesmore,United Kingdom,Europe,2022-07-04 00:00:00,OKH,Meridel Ferrant,Cancelled,,,,,,,52.736000,-0.648000,,
Memmingen Allgau Airport,Germany,Europe,2022-09-04 00:00:00,FMM,Amy Tremmil,Delayed,47.988800,10.239500,,,,,,,,
Edinburgh Airport,United Kingdom,Europe,2022-01-28 00:00:00,EDI,Poppy Saphir,Cancelled,,,,,,,55.950800,-3.361500,,
RNAS Yeovilton,United Kingdom,Europe,2022-05-11 00:00:00,YEO,Rachel Dacca,Delayed,,,,,,,51.009400,-2.638900,,
Caviahue Airport,Argentina,South America,2022-06-10 00:00:00,CVH,Miller Bollis,On Time,,,-37.920300,-71.139500,,,,,,
Suboficial Ay Santiago Germano Airport,Argentina,South America,2022-12-14 00:00:00,AFA,Dukie Drinnan,Cancelled,,,-34.588200,-68.403900,,,,,,
Licenciado Miguel de la Madrid Airport,Mexico,North America,2022-04-06 00:00:00,CLQ,Doralyn Rumsey,On Time,,,,,19.277000,-103.577100,,,,
General Pico Airport,Argentina,South America,2022-06-02 00:00:00,GPO,Shaughn Morch,Cancelled,,,-35.696400,-63.758300,,,,,,
Francisco Sarabia International Airport,Mexico,North America,2022-03-28 00:00:00,TRC,Sheri Gavigan,On Time,,,,,25.568300,-103.410600,,,,
